word,meaning,example,ipa,level,category
phone,device used to call and message,My phone battery is very low.,fəʊn,1,daily
call,speak to someone on a phone,I will call you after I reach.,kɔːl,1,daily
message,short written note on a phone,Send me a message when you start.,ˈmesɪdʒ,1,daily
chat,informal talk by text or voice,We can chat after dinner.,tʃæt,1,daily
recharge,add money or power to something,I need to recharge my phone plan.,ˌriːˈtʃɑːdʒ,2,daily
network,service that carries phone signals,The network is weak inside the lift.,ˈnetwɜːk,2,daily
coverage,area where a phone signal works,There is poor coverage in the basement.,ˈkʌvərɪdʒ,3,daily
pack,set of mobile data or calls,This pack will last till month end.,pæk,2,daily
battery,power stored in a device,Charge the battery before you leave.,ˈbætəri,1,daily
charger,object used to add power,Can I borrow your charger for an hour?,ˈtʃɑːdʒə,1,daily
screenshot,picture of what is on a screen,Send a screenshot of the ticket.,ˈskriːnʃɒt,3,daily
download,save a file from the internet,Download the form before you go.,ˈdaʊnləʊd,2,daily
upload,send a file to the internet,Please upload the photo for the pass.,ˈʌpləʊd,2,daily
username,name you use to enter an account,I forgot the username for this app.,ˈjuːzəneɪm,2,daily
profile,page with your basic details,Update your profile with a clear photo.,ˈprəʊfaɪl,2,daily
post,message you put on social media,Do not post the offer letter online.,pəʊst,1,daily
comment,short written reply under a post,I left a comment on the housing group.,ˈkɒment,2,daily
like,show you agree with a post,You can like the notice if you are coming.,laɪk,1,daily
forward,send a message on to someone else,Please forward the location to me.,ˈfɔːwəd,2,daily
video,moving pictures with sound,I watched a short cooking video.,ˈvɪdiəʊ,1,daily
photo,picture taken with a camera,The photo on the id is old.,ˈfəʊtəʊ,1,daily
camera,device that takes photos or video,The camera on this phone is enough.,ˈkæmərə,1,daily
internet,system that connects computers and phones,The internet is slow after nine.,ˈɪntənet,1,daily
website,set of pages on the internet,The railway website is down right now.,ˈwebsaɪt,2,daily
link,address that opens a page,Open the link I sent on chat.,lɪŋk,1,daily
spam,unwanted messages sent to many people,Do not click links in spam mail.,spæm,2,daily
code,short number used to prove it is you,The login code came on my phone.,kəʊd,1,daily
scam,trick used to steal money,That job message looks like a scam.,skæm,2,daily
safe,not in danger,Keep your bag in a safe place.,seɪf,1,daily
careful,taking care to avoid problems,Be careful with your phone in the crowd.,ˈkeəfəl,1,daily
hurry,move or act very quickly,Do not hurry on the wet stairs.,ˈhʌri,1,daily
slowly,not quickly,Please speak slowly I missed the stop.,ˈsləʊli,1,daily
enough,as much as you need,There is enough rice for everyone.,ɪˈnʌf,1,daily
leftover,food remaining after a meal,I will take the leftover curry for lunch.,ˈleftəʊvə,2,daily
fresh,newly made or recently picked,Buy fresh milk on the way home.,freʃ,1,daily
stale,no longer fresh,This bread is stale so make toast.,steɪl,2,daily
clean,not dirty,Keep the kitchen clean after cooking.,kliːn,1,daily
dirty,not clean,These plates are still dirty.,ˈdɜːti,1,daily
repair,fix something that is broken,The plumber will repair the tap tomorrow.,rɪˈpeə,2,daily
broken,not working or in pieces,The geyser is broken again.,ˈbrəʊkən,1,daily
leak,unwanted escape of water,There is a leak under the sink.,liːk,2,daily
tap,handle that lets water flow,Do not leave the tap open.,tæp,1,daily
bucket,open container for carrying water,Fill one bucket before the supply stops.,ˈbʌkɪt,1,daily
power,electricity in a building,The power may go during the storm.,ˈpaʊə,1,daily
outage,time when electricity stops,The outage lasted two hours last night.,ˈaʊtɪdʒ,3,daily
inverter,device that gives power during an outage,The inverter kept the fan running.,ɪnˈvɜːtə,3,daily
lift,box that carries people between floors,The lift is not working so use the stairs.,lɪft,1,daily
stairs,set of steps between floors,I take the stairs to the second floor.,steəz,1,daily
floor,level of a building,My room is on the third floor.,flɔː,1,daily
balcony,small outdoor space on an upper floor,The clothes are drying on the balcony.,ˈbælkəni,2,daily
kitchen,room where you cook,The kitchen tap needs a new washer.,ˈkɪtʃɪn,1,daily
strength,quality you do especially well,My strength is staying calm under pressure.,streŋθ,1,interview
weakness,area you still need to improve,My weakness is saying yes to extra work.,ˈwiːknəs,1,interview
achievement,success you worked hard to reach,My biggest achievement was leading a campus project.,əˈtʃiːvmənt,2,interview
accomplishment,result you are proud of,That cost saving was a real accomplishment.,əˈkʌmplɪʃmənt,3,interview
ambition,strong wish to grow in your career,My ambition is to lead a support team.,æmˈbɪʃən,2,interview
background,your education and work history,My background is in commerce and sales.,ˈbækɡraʊnd,2,interview
introduction,short talk about who you are,I practised a one minute introduction.,ˌɪntrəˈdʌkʃən,2,interview
qualification,exam or degree you have earned,This qualification matches the job need.,ˌkwɒlɪfɪˈkeɪʃən,2,interview
certificate,official paper proving a skill,I have a computer certificate from college.,səˈtɪfɪkət,2,interview
graduate,person who finished a college degree,I am a recent graduate in commerce.,ˈɡrædʒuət,2,interview
fresher,person with little job experience,I am a fresher looking for my first role.,ˈfreʃə,2,interview
candidate,person being considered for a job,Each candidate gets thirty minutes with the panel.,ˈkændɪdət,2,interview
recruiter,person who finds people for jobs,The recruiter called me after shortlisting.,rɪˈkruːtə,2,interview
panel,group of people who interview you,The panel asked about my internship.,ˈpænəl,2,interview
vacancy,job that still needs to be filled,Is this vacancy still open this month?,ˈveɪkənsi,2,interview
opening,available job in a company,I saw an opening in the support team.,ˈəʊpənɪŋ,2,interview
apply,send your details for a job,I will apply before the last date.,əˈplaɪ,1,interview
application,form or mail you send to apply,I submitted my application last week.,ˌæplɪˈkeɪʃən,2,interview
shortlist,reduced list of possible hires,I hope they shortlist me for the next round.,ˈʃɔːtlɪst,3,interview
hire,give someone the job,They plan to hire two people this month.,ˈhaɪə,1,interview
salary,money paid for doing the job,The salary is discussed in the last round.,ˈsæləri,1,interview
expectation,what you hope to receive or do,What is your salary expectation for this role?,ˌekspekˈteɪʃən,3,interview
package,total pay and benefits offered,The package includes travel allowance.,ˈpækɪdʒ,2,interview
negotiable,open to discussion and change,The joining date is negotiable by a week.,nɪˈɡəʊʃiəbəl,3,interview
career,long path of jobs you want,I want a career in customer support.,kəˈrɪə,1,interview
growth,getting better and taking more work,I chose this company for learning and growth.,ɡrəʊθ,2,interview
opportunity,useful chance to learn or rise,This role is a good opportunity for me.,ˌɒpəˈtjuːnəti,2,interview
contribution,useful help you gave a team,My contribution was a simple tracking sheet.,ˌkɒntrɪˈbjuːʃən,3,interview
passion,strong interest in the work,I have a passion for helping customers.,ˈpæʃən,2,interview
motivation,reason you want to work hard,My motivation is to support my family.,ˌməʊtɪˈveɪʃən,2,interview
interest,subject you enjoy and follow,I have a strong interest in sales.,ˈɪntrəst,1,interview
hobby,activity you do in free time,Reading is a hobby I still keep.,ˈhɒbi,1,interview
reliability,being someone others can count on,Reliability is important in night shift work.,rɪˌlaɪəˈbɪləti,3,interview
punctual,arriving at the right time,I am punctual even during heavy rain.,ˈpʌŋktʃuəl,2,interview
flexible,ready to change plans when needed,I am flexible with weekend shifts.,ˈfleksəbəl,2,interview
adaptable,able to adjust to new situations,I am adaptable in a fast team.,əˈdæptəbəl,3,interview
honest,telling the truth even when hard,I try to be honest about what I know.,ˈɒnɪst,1,interview
loyal,staying supportive of people and work,I stay loyal to my team during busy weeks.,ˈlɔɪəl,2,interview
dedicated,giving full effort to the job,She is dedicated to finishing every ticket.,ˈdedɪkeɪtɪd,2,interview
committed,firmly ready to do the work,I am committed to a one year stay.,kəˈmɪtɪd,2,interview
enthusiastic,showing energy and interest,He sounded enthusiastic about the product.,ɪnˌθjuːziˈæstɪk,3,interview
confident,sure of your ability to do it,I feel confident about the technical round.,ˈkɒnfɪdənt,2,interview
nervous,feeling worried before speaking,I felt nervous but I still answered clearly.,ˈnɜːvəs,1,interview
prepared,ready with facts and examples,I came prepared with two project stories.,prɪˈpeəd,1,interview
research,careful study before you speak,I did research on your products last night.,rɪˈsɜːtʃ,2,interview
company,business you want to join,Your company is known for fair training.,ˈkʌmpəni,1,interview
role,set of duties in a job,This role matches my support experience.,rəʊl,1,interview
position,the job you are applying for,I am applying for the analyst position.,pəˈzɪʃən,2,interview
duty,task you must take care of,My main duty was answering live chats.,ˈdjuːti,1,interview
teamwork,working well with other people,Teamwork helped us close the busy week.,ˈtiːmwɜːk,2,interview
leadership,guiding others toward a goal,I showed leadership during the college fest.,ˈliːdəʃɪp,3,interview
communication,sharing ideas clearly with others,Clear communication avoids repeat calls.,kəˌmjuːnɪˈkeɪʃən,2,interview
listen,pay attention to what others say,I listen fully before I reply.,ˈlɪsən,1,interview
explain,make your idea easy to follow,Let me explain my project in two minutes.,ɪkˈspleɪn,1,interview
describe,tell what something is like,Please describe a time you helped a customer.,dɪˈskraɪb,1,interview
demonstrate,show how you can do something,I can demonstrate the tool on your sample.,ˈdemənstreɪt,3,interview
illustrate,give an example to make it clear,This story will illustrate how I stay calm.,ˈɪləstreɪt,3,interview
highlight,point out the most important part,Let me highlight two results from that month.,ˈhaɪlaɪt,2,interview
emphasise,give extra importance to a point,I want to emphasise my night shift readiness.,ˈemfəsaɪz,3,interview
mention,speak about something briefly,Did I mention my weekend availability?,ˈmenʃən,1,interview
discuss,talk about a topic with others,Can we discuss the joining date today?,dɪˈskʌs,1,interview
convince,make someone agree with you,I had to convince the team to try a new script.,kənˈvɪns,2,interview
persuade,talk someone into your idea,I persuaded the vendor to deliver earlier.,pəˈsweɪd,3,interview
impress,make a strong good effect,I hope my examples impress the panel.,ɪmˈpres,2,interview
suitable,right for this job,My hours are suitable for rotating shifts.,ˈsuːtəbəl,2,interview
relevant,connected to the job need,This project is relevant to the role.,ˈreləvənt,2,interview
related,connected to the same field,My course is related to this work.,rɪˈleɪtɪd,2,interview
previous,happening in the job before,In my previous internship I handled chats.,ˈpriːviəs,2,interview
current,happening in your job now,My current role is a sales trainee.,ˈkʌrənt,1,interview
former,from a job you had before,My former supervisor can be a reference.,ˈfɔːmə,2,interview
internship,short training job for students,My internship lasted three months.,ˈɪntɜːnʃɪp,2,interview
project,piece of work with a clear goal,I led a college project on customer surveys.,ˈprɒdʒekt,1,interview
volunteer,work given without pay,I volunteer at a local tuition class.,ˌvɒlənˈtɪə,2,interview
freelance,work done for different buyers,I did freelance data entry last year.,ˈfriːlɑːns,3,interview
part-time,job with fewer weekly hours,I had a part-time campus support job.,ˌpɑːt ˈtaɪm,2,interview
full-time,job with standard weekly hours,I am looking for a full-time role.,ˌfʊl ˈtaɪm,1,interview
contract,agreement for a fixed period,This is a one year contract role.,ˈkɒntrækt,2,interview
permanent,job with no planned end date,I prefer a permanent position after probation.,ˈpɜːmənənt,2,interview
temporary,job for a short period,It started as a temporary billing role.,ˈtemprəri,2,interview
referral,recommendation from someone inside,I got a referral from a former classmate.,rɪˈfɜːrəl,3,interview
reference,person who can speak about you,Please keep two references ready.,ˈrefrəns,2,interview
recommendation,praise that supports your hiring,Her recommendation helped me get the call.,ˌrekəmenˈdeɪʃən,3,interview
portfolio,collection of your best work,I brought a small portfolio of designs.,pɔːtˈfəʊliəʊ,3,interview
sample,small piece of work you show,This sample shows how I write emails.,ˈsɑːmpəl,2,interview
aptitude,natural ability for a type of work,The aptitude test is tomorrow morning.,ˈæptɪtjuːd,3,interview
assessment,test of your skills,The assessment has typing and a case.,əˈsesmənt,3,interview
screening,first check before a full interview,The screening call lasted fifteen minutes.,ˈskriːnɪŋ,3,interview
round,one stage of the interview process,The next round is with the team lead.,raʊnd,1,interview
technical,about job skills and tools,The technical round covers spreadsheet basics.,ˈteknɪkəl,2,interview
behavioural,about how you act at work,They asked one behavioural question on teamwork.,bɪˈheɪvjərəl,4,interview
situational,about what you would do,The situational question was about an angry caller.,ˌsɪtʃuˈeɪʃənəl,4,interview
hypothetical,imagined situation for discussion,It was a hypothetical question about delay.,ˌhaɪpəˈθetɪkəl,4,interview
situation,the setting of a past event,Let me set the situation in one line.,ˌsɪtʃuˈeɪʃən,2,interview
task,piece of work you had to do,My task was to reduce repeat calls.,tɑːsk,1,interview
action,step you took to solve it,The action I took was a simple checklist.,ˈækʃən,1,interview
result,what happened after you acted,The result was fewer pending tickets.,rɪˈzʌlt,1,interview
disagreement,different views between people,We had a disagreement on the script.,ˌdɪsəˈɡriːmənt,3,interview
pressure,feeling of too much work or time,I work well under time pressure.,ˈpreʃə,2,interview
stress,worry caused by difficult work,I manage stress with a short walk.,stres,2,interview
cope,handle a difficult situation,How do you cope with night shifts?,kəʊp,2,interview
overcome,succeed after a hard problem,I had to overcome my fear of calls.,ˌəʊvəˈkʌm,2,interview
learn,gain a new ability,I learn quickly from live feedback.,lɜːn,1,interview
improve,make your work better,I want to improve my spoken answers.,ɪmˈpruːv,1,interview
develop,grow a skill over time,I want to develop leadership skills.,dɪˈveləp,2,interview
practise,repeat something to get better,I practise answers aloud every night.,ˈpræktɪs,1,interview
mistake,something that did not go as planned,I owned the mistake and fixed the file.,mɪˈsteɪk,1,interview
lesson,useful thing you learned,The lesson was to confirm names twice.,ˈlesən,1,interview
failure,time when a plan did not work,That failure taught me to revise early.,ˈfeɪljə,2,interview
success,reaching the result you wanted,The success came after three dry runs.,səkˈses,1,interview
proud,feeling good about your work,I am proud of my attendance record.,praʊd,1,interview
humble,not boasting about your work,Stay humble even after a good round.,ˈhʌmbəl,2,interview
thank,show you are grateful,I thank the panel for their time.,θæŋk,1,interview
greet,say hello in a polite way,Smile and greet everyone as you enter.,ɡriːt,1,interview
posture,way you sit or stand,Keep an open posture during the interview.,ˈpɒstʃə,2,interview
tone,way your voice sounds,Keep a calm tone even if you disagree.,təʊn,1,interview
filler,extra sound like um while speaking,I am trying to use fewer filler sounds.,ˈfɪlə,3,interview
rephrase,say the same idea in new words,Let me rephrase that more simply.,ˌriːˈfreɪz,3,interview
elaborate,give more detail on a point,Could you elaborate on your project role?,ɪˈlæbəreɪt,3,interview
specify,say exactly what you mean,Please specify the tools you have used.,ˈspesɪfaɪ,3,interview
quantify,give a number for your result,Try to quantify the time you saved.,ˈkwɒntɪfaɪ,4,interview
figure,number that shows a result,That figure dropped after we changed the script.,ˈfɪɡə,2,interview
rate,speed or amount of something,Our closing rate improved that month.,reɪt,2,interview
reduced,made smaller in size or cost,We reduced waiting time by ten minutes.,rɪˈdjuːst,2,interview
increased,made larger in size or amount,Calls increased during the festival week.,ɪnˈkriːst,2,interview
saved,kept money or time from waste,That sheet saved the team an hour daily.,seɪvd,1,interview
delivered,finished and handed over work,I delivered the report before the call.,dɪˈlɪvəd,2,interview
led,guided a group of people,I led a five member campus team.,led,1,interview
handled,dealt with a task or problem,I handled angry callers with a calm script.,ˈhændəld,2,interview
resolved,found a way to close a problem,I resolved the billing issue the same day.,rɪˈzɒlvd,2,interview
implemented,put a plan into real use,We implemented a simple reminder for follow ups.,ˈɪmplɪmentɪd,4,interview
launched,started a product or project,The team launched a new help page.,lɔːntʃt,3,interview
designed,planned how something should work,I designed a basic tracking sheet.,dɪˈzaɪnd,2,interview
created,made something new,I created a checklist for new joiners.,kriˈeɪtɪd,1,interview
built,made a system or process,We built a simple FAQ for the team.,bɪlt,1,interview
tested,checked that something works,I tested the form before going live.,ˈtestɪd,1,interview
analysed,studied data to find meaning,I analysed weekly complaint numbers.,ˈænəlaɪzd,3,interview
identified,found the main problem,I identified the step causing delay.,aɪˈdentɪfaɪd,3,interview
recommended,suggested a useful action,I recommended a shorter greeting script.,ˌrekəˈmendɪd,3,interview
presented,showed work to other people,I presented the findings to my supervisor.,prɪˈzentɪd,2,interview
facilitated,helped a group get work done,I facilitated a small campus workshop.,fəˈsɪlɪteɪtɪd,4,interview
supervised,watched and guided other workers,I supervised two juniors during the fest.,ˈsuːpəvaɪzd,3,interview
trained,taught someone how to do work,I trained a new intern on the tool.,treɪnd,2,interview
coached,helped someone improve with advice,A senior coached me before the panel.,kəʊtʃt,3,interview
motivated,helped others want to work well,My mentor motivated me to apply again.,ˈməʊtɪveɪtɪd,3,interview
inspired,filled others with energy to try,Her story inspired me to keep practising.,ɪnˈspaɪəd,2,interview
culture,way people behave in a company,I like a culture of helping new joiners.,ˈkʌltʃə,2,interview
values,beliefs that guide how you work,Honesty is one of my core values.,ˈvæljuːz,2,interview
ethics,rules about right and fair action,Work ethics matter more than speed alone.,ˈeθɪks,3,interview
integrity,doing the right thing even unseen,Integrity means reporting the extra cash.,ɪnˈteɡrəti,4,interview
respect,treating others with care,I treat every caller with respect.,rɪˈspekt,1,interview
diversity,mix of different kinds of people,Diversity in a team brings more ideas.,daɪˈvɜːsəti,3,interview
inclusion,making everyone feel they belong,Inclusion means new people get a buddy.,ɪnˈkluːʒən,4,interview
environment,the place and feel of work,I want a calm learning environment.,ɪnˈvaɪrənmənt,2,interview
fit,being a good match for the team,I think I am a good fit for nights.,fɪt,1,interview
long-term,planned for a long time,I am looking for a long-term role.,ˌlɒŋ ˈtɜːm,2,interview
short-term,planned for a near time,My short-term goal is to join a team.,ˌʃɔːt ˈtɜːm,2,interview
plan,steps you want to follow,My plan is to grow into a team lead.,plæn,1,interview
vision,picture of where you want to go,Their vision of fair work attracted me.,ˈvɪʒən,3,interview
mission,main purpose of the company,Your mission to help small shops matches me.,ˈmɪʃən,2,interview
reason,why you want this job,My reason is the learning and the shift.,ˈriːzən,1,interview
join,start working with a company,I can join within thirty days.,dʒɔɪn,1,interview
start,begin the new job,I can start after my final exam.,stɑːt,1,interview
immediately,without waiting,I can join immediately after the offer.,ɪˈmiːdiətli,2,interview
currently,at this time,I am currently finishing my degree.,ˈkʌrəntli,2,interview
recently,a short time ago,I recently completed a sales internship.,ˈriːsəntli,2,interview
previously,at an earlier time,I previously worked in a campus store.,ˈpriːviəsli,3,interview
besides,in addition to that,Besides support I can help with billing.,bɪˈsaɪdz,2,interview
however,showing a different side,I am new however I learn very fast.,haʊˈevə,2,interview
therefore,for that reason,The queue grew therefore I stayed back.,ˈðeəfɔː,3,interview
overall,looking at everything together,Overall the internship taught me patience.,ˌəʊvərˈɔːl,2,interview
specifically,in a more exact way,Specifically I handled billing queries.,spəˈsɪfɪkli,3,interview
honestly,speaking in a truthful way,Honestly I still get nervous on stage.,ˈɒnɪstli,2,interview
personally,from my own view,Personally I prefer morning shifts.,ˈpɜːsənəli,2,interview
ideally,in the best possible case,Ideally I would like to grow in sales.,aɪˈdɪəli,3,interview
definitely,without any doubt,I can definitely work on weekends.,ˈdefɪnətli,2,interview
certainly,yes with no doubt,I can certainly relocate if needed.,ˈsɜːtənli,2,interview
fluent,able to speak easily and clearly,I am fluent in two languages.,ˈfluːənt,2,interview
pronunciation,how you say the sounds of words,I am improving my pronunciation daily.,prəˌnʌnsiˈeɪʃən,3,interview
articulate,able to express ideas clearly,She gave an articulate answer on teamwork.,ɑːˈtɪkjələt,4,interview
clear,easy to understand,Keep your first sentence clear and short.,klɪə,1,interview
polite,showing good manners in speech,Stay polite even if the question is hard.,pəˈlaɪt,1,interview
professional,behaving in a serious work way,Keep a professional tone on the call.,prəˈfeʃənəl,2,interview
formal,using careful official language,Use formal language with the panel.,ˈfɔːməl,2,interview
casual,relaxed everyday way of speaking,Keep answers warm but not too casual.,ˈkæʒuəl,2,interview
attire,clothes you wear for work,Wear simple formal attire for the round.,əˈtaɪə,3,interview
appearance,how you look to other people,A neat appearance shows you take care.,əˈpɪərəns,2,interview
smile,happy look on your face,A small smile helps you sound warmer.,smaɪl,1,interview
handshake,greeting by holding someone's hand,Give a firm handshake if they offer one.,ˈhændʃeɪk,2,interview
eye-contact,looking at someone while you speak,Keep gentle eye-contact with the panel.,ˈaɪ ˌkɒntækt,2,interview
body-language,messages shown by face and posture,Open body-language makes you look ready.,ˈbɒdi ˌlæŋɡwɪdʒ,3,interview
impression,feeling others get about you,A calm greeting makes a good impression.,ɪmˈpreʃən,2,interview
self-aware,knowing your strengths and limits,I am self-aware about my weak formulas.,ˌself əˈweə,4,interview
calm,not showing panic,I stay calm when the queue is long.,kɑːm,1,interview
patient,able to wait without getting angry,A support role needs a patient person.,ˈpeɪʃənt,1,interview
resilient,able to recover after a setback,I stayed resilient after the first rejection.,rɪˈzɪliənt,4,interview
resourceful,good at finding a useful way,I am resourceful when the system is down.,rɪˈsɔːsfəl,3,interview
willing,ready to do something,I am willing to work rotating shifts.,ˈwɪlɪŋ,1,interview
eager,wanting to start with energy,I am eager to learn the product fast.,ˈiːɡə,2,interview
keen,very interested in doing something,I am keen to join the night team.,kiːn,2,interview
organised,keeping work and time in order,I stay organised with a daily list.,ˈɔːɡənaɪzd,2,interview
